No,시도,구군,삶의_만족도,건강,안전,환경,경제,교육,관계_및_사회참여,여가
1,서울특별시,종로구,0.4437,0.922,0.747,0.4637,1.0,0.6839,0.7425,0.6331
2,서울특별시,중구,0.4976,0.6742,0.932,0.2865,0.9806,0.5013,0.4608,0.6691
3,서울특별시,용산구,0.6161,0.5898,0.5537,0.503,0.6915,0.2679,0.4317,0.2817
4,서울특별시,성동구,0.4729,0.4794,0.5347,0.4196,0.6533,0.2464,0.4182,0.3257
5,서울특별시,광진구,0.4041,0.6373,0.6072,0.4992,0.4445,0.4879,0.3519,0.3313
6,서울특별시,동대문구,0.5842,0.6024,0.648,0.3075,0.477,0.5119,0.1339,0.2329
7,서울특별시,중랑구,0.1058,0.5225,0.5424,0.5523,0.248,0.1537,0.2511,0.1831
8,서울특별시,성북구,0.6382,0.4177,0.463,0.4991,0.2732,0.4649,0.3539,0.267
9,서울특별시,강북구,0.0461,0.3987,0.6119,0.6812,0.1313,0.1063,0.0893,0.2337
10,서울특별시,도봉구,0.2171,0.4683,0.4675,0.5545,0.2104,0.4725,0.5292,0.3076
11,서울특별시,노원구,0.624,0.4783,0.3241,0.647,0.1496,0.8054,0.4966,0.1548
12,서울특별시,은평구,0.3242,0.3925,0.4769,0.4726,0.1538,0.1314,0.5292,0.2498
13,서울특별시,서대문구,0.605,0.8437,0.6215,0.4215,0.4415,0.3663,0.2809,0.2175
14,서울특별시,마포구,0.6487,0.5414,0.5025,0.3967,0.7569,0.5487,0.4891,0.2337
15,서울특별시,양천구,0.6845,0.6074,0.5365,0.4848,0.3355,0.5632,0.6415,0.2737
16,서울특별시,강서구,0.3646,0.3309,0.4676,0.5817,0.3788,0.2969,0.257,0.1998
17,서울특별시,구로구,0.4386,0.5995,0.5034,0.4408,0.6418,0.3886,0.4795,0.3594
18,서울특별시,금천구,0.1707,0.4905,0.3618,0.4086,0.8277,0.2392,0.3858,0.2391
19,서울특별시,영등포구,0.6637,0.7313,0.674,0.3213,0.9332,0.2797,0.4053,0.371
20,서울특별시,동작구,0.6413,0.336,0.5241,0.4874,0.3594,0.3623,0.224,0.2002
21,서울특별시,관악구,0.2257,0.5065,0.6448,0.425,0.2858,0.1501,0.1551,0.2037
22,서울특별시,서초구,0.9259,0.6763,0.4234,0.5075,0.921,0.503,0.4501,0.2724
23,서울특별시,강남구,0.7945,0.6171,0.6969,0.416,0.9933,0.5955,0.3016,0.3043
24,서울특별시,송파구,0.7575,0.6596,0.456,0.5124,0.6091,0.4632,0.4959,0.192
25,서울특별시,강동구,0.3796,0.715,0.4855,0.4779,0.4233,0.3951,0.4123,0.2317
26,부산광역시,중구,0.0225,0.8268,0.6374,0.1966,0.7565,0.3472,0.2166,0.4288
27,부산광역시,서구,0.3044,0.8836,0.7178,0.2964,0.2933,0.2663,0.1042,0.1076
28,부산광역시,동구,0.0361,0.6041,0.6587,0.4844,0.6842,0.3953,0.1553,0.1358
29,부산광역시,영도구,0.2273,0.4181,0.4401,0.5508,0.2217,0.4087,0.0094,0.1243
30,부산광역시,부산진구,0.4239,0.5989,0.2883,0.4563,0.4598,0.5995,0.127,0.1193
31,부산광역시,동래구,0.6437,0.7246,0.4551,0.4052,0.3831,0.5999,0.4833,0.0655
32,부산광역시,남구,0.5531,0.4537,0.5062,0.5422,0.3297,0.619,0.2272,0.0871
33,부산광역시,북구,0.3065,0.4344,0.3248,0.5921,0.0844,0.5832,0.4301,
34,부산광역시,해운대구,0.6314,0.3278,0.3942,0.6508,0.336,0.5989,0.3783,0.1267
35,부산광역시,사하구,0.1104,0.361,0.1436,0.1976,0.2831,0.7165,0.3788,0.0909
36,부산광역시,금정구,0.5369,0.5716,0.1765,0.6128,0.3769,0.7324,0.4859,0.0904
37,부산광역시,강서구,0.4799,0.07,0.2717,0.1776,0.9899,0.2152,0.522,0.2904
38,부산광역시,연제구,0.6428,0.4166,0.43,0.443,0.4785,0.5233,0.4122,0.0238
39,부산광역시,수영구,0.3467,0.561,0.4349,0.3782,0.3607,0.4581,0.1557,0.0404
40,부산광역시,사상구,0.0903,0.5559,0.1576,0.3668,0.541,0.5093,0.1217,0.0517
41,부산광역시,기장군,0.4374,0.3824,0.4411,0.8287,0.4298,0.5007,0.5078,0.5211
42,대구광역시,중구,0.4445,1.0,0.7281,0.2231,0.781,0.6247,0.4463,0.598
43,대구광역시,동구,0.31,0.3681,,0.7253,0.2675,0.3777,0.2631,0.0965
44,대구광역시,서구,0.0049,0.2596,0.1849,,0.3363,0.5229,,0.1395
45,대구광역시,남구,0.0828,0.8312,0.4562,0.3868,0.2459,0.4699,0.2008,0.0817
46,대구광역시,북구,0.3459,0.2541,0.2096,0.5778,0.4411,0.7195,0.4278,0.2337
47,대구광역시,수성구,0.77,0.4321,0.2574,0.7551,0.2827,0.707,0.6297,0.2263
48,대구광역시,달서구,0.3832,0.3122,0.3668,0.4726,0.3487,0.766,0.3674,0.2009
